0.5876,0.88425,-0.00005;0.67839,0.77524,0.02337;0.67691,0.64562,-0.07604;0.63974,0.53087,-0.17112;0.64286,0.44917,-0.25571;0.76048,0.62781,-0.46365;0.69611,0.50463,-0.64042;0.68524,0.44235,-0.67689;0.70181,0.39023,-0.71673;0.66563,0.65462,-0.53148;0.50484,0.51136,-0.6567;0.42941,0.55788,-0.52391;0.42994,0.60178,-0.44386;0.54831,0.68345,-0.58762;0.39619,0.55606,-0.64654;0.35241,0.59982,-0.45748;0.37782,0.63542,-0.34193;0.41523,0.70988,-0.65893;0.30848,0.58491,-0.87434;0.26974,0.50118,-1.03412;0.25691,0.42717,-1.15108;
0.71823,0.94197,-0.00017;0.54383,0.8725,-0.07014;0.47253,0.79085,-0.25746;0.44046,0.72074,-0.38744;0.45307,0.64487,-0.5063;0.53713,0.81605,-0.67365;0.51505,0.66924,-0.9214;0.49062,0.56485,-1.04126;0.47803,0.48527,-1.10458;0.64472,0.82001,-0.68606;0.63048,0.65804,-1.01652;0.59378,0.54529,-1.14288;0.57573,0.45197,-1.25724;0.74667,0.82479,-0.65877;0.7696,0.66514,-0.93361;0.72135,0.54274,-1.06469;0.68236,0.44418,-1.17383;0.82564,0.82454,-0.60134;0.79994,0.7059,-0.73047;0.75322,0.63413,-0.76727;0.71623,0.56915,-0.81889;
0.72988,0.9011,-0.00005;0.57329,0.84364,-0.06945;0.52347,0.78215,-0.21534;0.528,0.73312,-0.30366;0.5443,0.6865,-0.39208;0.54287,0.81343,-0.56838;0.47329,0.72698,-0.80363;0.42842,0.65133,-0.9827;0.39541,0.58326,-1.11271;0.65883,0.81512,-0.58997;0.65575,0.70637,-0.92357;0.65312,0.6119,-1.15674;0.66066,0.51569,-1.36228;0.7703,0.8135,-0.57503;0.799,0.70779,-0.84588;0.77771,0.60792,-1.03551;0.7661,0.51511,-1.17632;0.85511,0.81322,-0.52272;0.85948,0.74338,-0.62221;0.83357,0.6999,-0.64194;0.80912,0.65989,-0.67453;
0.74861,0.92534,-0.00022;0.57593,0.84838,0.03769;0.51857,0.75777,-0.05411;0.53026,0.67964,-0.11514;0.57707,0.61726,-0.18146;0.493,0.78601,-0.48485;0.40108,0.6554,-0.71709;0.35969,0.55928,-0.84851;0.33954,0.47974,-0.91754;0.61313,0.79969,-0.53017;0.60531,0.63593,-0.78804;0.61179,0.51464,-0.87487;0.62016,0.41726,-0.93864;0.75195,0.815,-0.53861;0.80452,0.65853,-0.75254;0.83862,0.54186,-0.84791;0.8489,0.45262,-0.92061;0.88089,0.82921,-0.51827;0.9696,0.72854,-0.61765;1.01891,0.67988,-0.62369;1.04632,0.64457,-0.64639;
0.72986,0.85413,-0.00002;0.62163,0.80504,-0.07525;0.58144,0.75386,-0.198;0.57398,0.72253,-0.28451;0.57876,0.68854,-0.35517;0.60111,0.75265,-0.43593;0.57213,0.67288,-0.61765;0.55495,0.61717,-0.72051;0.54239,0.56784,-0.78518;0.67949,0.76781,-0.45279;0.68653,0.68589,-0.69389;0.68428,0.62211,-0.84135;0.68192,0.56111,-0.96254;0.75402,0.78583,-0.44961;0.77565,0.70824,-0.63703;0.75445,0.63614,-0.76744;0.73312,0.57453,-0.87488;0.81822,0.80461,-0.4297;0.83618,0.74865,-0.50325;0.82717,0.70662,-0.54615;0.80975,0.66919,-0.58895;
0.76475,0.83316,-0.00012;0.60863,0.77238,-0.00251;0.55866,0.6985,-0.10076;0.56523,0.62841,-0.17235;0.5934,0.56847,-0.23732;0.54916,0.71796,-0.4199;0.46868,0.60203,-0.61493;0.42442,0.51811,-0.71235;0.40172,0.446,-0.76087;0.65972,0.7179,-0.44093;0.63403,0.57787,-0.6803;0.62629,0.47444,-0.7659;0.63066,0.39275,-0.81662;0.77636,0.71475,-0.43493;0.82711,0.57286,-0.62504;0.84106,0.47614,-0.71478;0.83952,0.40171,-0.76519;0.87461,0.70539,-0.40109;0.90872,0.60025,-0.47696;0.90539,0.55129,-0.4705;0.89429,0.51445,-0.46482;
0.74879,0.9634,-0.00022;0.4628,0.92439,0.06752;0.30158,0.85823,0.10387;0.17225,0.79769,0.15408;0.07266,0.76127,0.21564;0.51119,0.67293,0.0077;0.42888,0.51209,-0.00004;0.38929,0.41593,-0.0368;0.35904,0.34673,-0.04788;0.65212,0.66359,0.05445;0.64256,0.48403,0.04204;0.63831,0.37074,0.02321;0.63766,0.28758,-0.00859;0.77908,0.68289,0.12724;0.82815,0.52716,0.14821;0.86,0.4242,0.14277;0.88804,0.34123,0.12514;0.88088,0.72032,0.21736;0.94649,0.61781,0.27729;0.98203,0.56171,0.31017;1.01202,0.5136,0.31361;
0.71413,0.7523,-0.00024;0.77406,0.68587,-0.06718;0.7893,0.62183,-0.20715;0.77324,0.5654,-0.30283;0.76649,0.52018,-0.39186;0.79575,0.64309,-0.56581;0.82651,0.5386,-0.73694;0.83499,0.46046,-0.7988;0.8377,0.39214,-0.8422;0.7421,0.6596,-0.58501;0.77407,0.54765,-0.84671;0.77642,0.45376,-0.96749;0.77439,0.37096,-1.07949;0.68211,0.67986,-0.55446;0.666,0.57554,-0.79049;0.63985,0.48263,-0.93835;0.62805,0.4066,-1.0602;0.62229,0.69718,-0.50395;0.57841,0.62756,-0.64555;0.54749,0.57161,-0.72153;0.52727,0.51725,-0.80196;
0.75937,0.9786,-0.00015;0.46655,0.92974,0.0299;0.30547,0.85843,0.06858;0.17263,0.79541,0.1323;0.06197,0.75956,0.21123;0.53772,0.67908,-0.01845;0.45173,0.51889,-0.02607;0.41394,0.42321,-0.0458;0.38762,0.35228,-0.04514;0.67578,0.66942,0.06077;0.65693,0.4896,0.04937;0.65112,0.3813,0.04185;0.65377,0.29944,0.0315;0.7896,0.68624,0.16094;0.83187,0.53555,0.1781;0.86486,0.44332,0.17947;0.89327,0.3658,0.17776;0.87307,0.71927,0.27341;0.94254,0.62873,0.32527;0.98256,0.58366,0.35037;1.01327,0.54314,0.35834;
0.70175,0.70283,-0.00011;0.6495,0.65014,-0.08093;0.63615,0.59663,-0.21361;0.65019,0.55511,-0.30551;0.68927,0.5271,-0.38333;0.62268,0.61064,-0.47721;0.60195,0.53147,-0.65223;0.58212,0.46614,-0.74994;0.5622,0.4094,-0.8126;0.68286,0.63024,-0.48029;0.69423,0.53108,-0.70277;0.69076,0.44775,-0.82339;0.68478,0.37613,-0.9288;0.7468,0.6479,-0.45364;0.76622,0.55261,-0.62836;0.77553,0.46626,-0.73219;0.77557,0.39377,-0.82224;0.79813,0.66053,-0.40886;0.81133,0.58695,-0.4592;0.81146,0.53931,-0.46581;0.80256,0.49924,-0.49732;
